Date,QQQ,RSP,SPY
2024-05-10,438.3732604980469,162.0638885498047,511.36077880859375
2024-05-13,439.3847351074219,162.02487182617188,511.4293518066406
2024-05-14,442.2109680175781,162.66880798339844,513.7759399414062
2024-05-15,449.12286376953125,163.9663848876953,520.137939453125
2024-05-16,448.21051025390625,163.70298767089844,519.0678100585938
2024-05-17,447.99237060546875,163.94688415527344,519.81396484375
2024-05-20,451.1160583496094,163.810302734375,520.412841796875
2024-05-21,451.9986572265625,163.74200439453125,521.6892700195312
2024-05-22,451.9093933105469,163.1175994873047,520.1871337890625
2024-05-23,449.87652587890625,160.8345947265625,516.387451171875
2024-05-24,454.1307373046875,161.89804077148438,519.80419921875
2024-05-28,455.8462829589844,160.7760467529297,520.16748046875
2024-05-29,452.6333312988281,158.89305114746094,516.52490234375
