Datetime,GOOG,MSFT,NVDA,QQQ,SPY
2025-08-06 14:30:00+00:00,195.75999450683594,525.6649780273438,178.14999389648438,564.8800048828125,631.927001953125
2025-08-06 15:30:00+00:00,196.80999755859375,526.7899780273438,178.23500061035156,565.9199829101562,632.3699951171875
2025-08-06 16:30:00+00:00,196.6300048828125,525.8499755859375,178.42999267578125,566.1400146484375,632.2899780273438
2025-08-06 17:30:00+00:00,196.9600067138672,526.260009765625,179.22999572753906,567.1799926757812,632.9199829101562
2025-08-06 18:30:00+00:00,197.1649932861328,525.4600219726562,179.6649932861328,567.4199829101562,633.02001953125
2025-08-06 19:30:00+00:00,196.92999267578125,524.8400268554688,179.41000366210938,567.3195190429688,632.6699829101562
2025-08-07 13:30:00+00:00,197.75,524.5800170898438,182.47999572753906,571.0250244140625,633.8200073242188
2025-08-07 14:30:00+00:00,197.22520446777344,524.489990234375,181.52999877929688,569.4450073242188,631.9699096679688
2025-08-07 15:30:00+00:00,197.375,522.2949829101562,181.14999389648438,569.0700073242188,632.2449951171875
2025-08-07 16:30:00+00:00,196.47500610351562,520.9600219726562,179.97000122070312,567.010009765625,630.030029296875
2025-08-07 17:30:00+00:00,195.69070434570312,518.697021484375,179.42010498046875,566.052001953125,629.9199829101562
2025-08-07 18:30:00+00:00,196.27000427246094,519.2849731445312,179.47000122070312,566.719970703125,630.27001953125
2025-08-07 19:30:00+00:00,197.35000610351562,521.0999755859375,180.8699951171875,569.25,632.2899780273438
2025-08-08 13:30:00+00:00,201.9199981689453,522.9550170898438,182.19500732421875,573.6199951171875,636.4400024414062
2025-08-08 14:30:00+00:00,203.32000732421875,521.3300170898438,183.01499938964844,573.4099731445312,636.010009765625
2025-08-08 15:30:00+00:00,201.8489990234375,521.0700073242188,182.90809631347656,574.0,636.875
2025-08-08 16:30:00+00:00,201.4969940185547,521.9400024414062,181.88499450683594,573.280029296875,636.39501953125
2025-08-08 17:30:00+00:00,201.88189697265625,522.5800170898438,182.61500549316406,574.375,637.219970703125
2025-08-08 18:30:00+00:00,202.3000030517578,521.9749755859375,182.69500732421875,574.375,637.260009765625
2025-08-08 19:30:00+00:00,202.1649932861328,522.1199951171875,182.75,574.5499877929688,637.1199951171875
2025-08-11 13:30:00+00:00,200.39999389648438,522.9500122070312,183.3455047607422,575.5499877929688,637.2501220703125
2025-08-11 14:30:00+00:00,201.5749969482422,524.9400024414062,183.1800994873047,575.094970703125,637.0900268554688
2025-08-11 15:30:00+00:00,201.9803924560547,526.9650268554688,183.73500061035156,576.344970703125,638.5499877929688
2025-08-11 16:30:00+00:00,201.61000061035156,525.6400146484375,183.23550415039062,574.9949951171875,637.1849975585938
2025-08-11 17:30:00+00:00,201.50979614257812,522.5150146484375,182.89999389648438,573.8800048828125,636.489990234375
2025-08-11 18:30:00+00:00,201.80999755859375,521.3599853515625,182.16000366210938,573.3800048828125,636.2620239257812
2025-08-11 19:30:00+00:00,201.5399932861328,521.75,182.0850067138672,572.75,635.8200073242188
2025-08-12 13:30:00+00:00,203.1199951171875,526.1199951171875,180.92999267578125,575.6500244140625,639.2899780273438
2025-08-12 14:30:00+00:00,203.44000244140625,526.4249877929688,182.0146942138672,577.5800170898438,640.47998046875
2025-08-12 15:30:00+00:00,204.47000122070312,527.9299926757812,182.27499389648438,578.6599731445312,641.3792724609375
2025-08-12 16:30:00+00:00,204.23240661621094,528.1699829101562,182.24000549316406,578.8870849609375,641.5399780273438
2025-08-12 17:30:00+00:00,204.38250732421875,530.0399780273438,183.06500244140625,579.6199951171875,642.219970703125
2025-08-12 18:30:00+00:00,204.7884063720703,529.760009765625,182.7845001220703,579.7449951171875,642.3200073242188
2025-08-12 19:30:00+00:00,204.15899658203125,529.4600219726562,183.10000610351562,580.02001953125,642.6300048828125
2025-08-13 13:30:00+00:00,204.22039794921875,529.75,181.41099548339844,580.6492919921875,644.239990234375
2025-08-13 14:30:00+00:00,204.5229949951172,527.3499755859375,180.13180541992188,579.875,643.6699829101562
2025-08-13 15:30:00+00:00,203.5800018310547,526.35498046875,180.0500030517578,579.7750244140625,643.27001953125
2025-08-13 16:30:00+00:00,203.75,525.2100219726562,180.99000549316406,580.340087890625,643.6408081054688
2025-08-13 17:30:00+00:00,203.52499389648438,523.875,181.32989501953125,579.8900756835938,643.8900146484375
2025-08-13 18:30:00+00:00,203.0500030517578,522.4000244140625,181.26499938964844,580.155029296875,644.2899780273438
2025-08-13 19:30:00+00:00,202.97999572753906,520.6900024414062,181.57000732421875,580.3400268554688,644.8800048828125
2025-08-14 13:30:00+00:00,203.46029663085938,523.4299926757812,182.5800018310547,580.5800170898438,644.239990234375
2025-08-14 14:30:00+00:00,204.3000030517578,523.10009765625,181.3800048828125,579.030029296875,643.3350219726562
2025-08-14 15:30:00+00:00,204.4499969482422,524.3825073242188,181.14349365234375,578.9500122070312,643.0900268554688
2025-08-14 16:30:00+00:00,205.0800018310547,524.0599975585938,182.1649932861328,581.1699829101562,645.0006713867188
2025-08-14 17:30:00+00:00,203.9600067138672,520.8900146484375,181.52499389648438,579.375,644.0850219726562
2025-08-14 18:30:00+00:00,203.94000244140625,521.4600219726562,181.9600067138672,579.989990234375,645.030029296875
2025-08-14 19:30:00+00:00,203.77999877929688,522.510009765625,182.0,579.8699951171875,644.9400024414062
2025-08-15 13:30:00+00:00,206.8813934326172,523.14501953125,179.92010498046875,578.489990234375,644.2100219726562
2025-08-15 14:30:00+00:00,205.89999389648438,522.9099731445312,179.5050048828125,577.3200073242188,643.47802734375
2025-08-15 15:30:00+00:00,206.1300048828125,523.905029296875,178.92999267578125,576.3099975585938,643.2899780273438
2025-08-15 16:30:00+00:00,207.05999755859375,524.85498046875,179.70010375976562,577.2750244140625,644.1654052734375
2025-08-15 17:30:00+00:00,206.66000366210938,523.989990234375,180.17999267578125,577.719970703125,644.530029296875
2025-08-15 18:30:00+00:00,205.97000122070312,523.1400146484375,179.97000122070312,577.3350219726562,643.7999877929688
2025-08-15 19:30:00+00:00,204.92999267578125,520.1400146484375,180.44000244140625,577.22998046875,643.4600219726562
2025-08-18 13:30:00+00:00,205.3300018310547,517.989990234375,182.67999267578125,576.5999755859375,643.0
2025-08-18 14:30:00+00:00,204.08999633789062,516.677490234375,181.1519012451172,575.849609375,642.72998046875
2025-08-18 15:30:00+00:00,203.7949981689453,517.1900024414062,181.7657928466797,576.4600219726562,643.1199951171875
2025-08-18 16:30:00+00:00,203.8699951171875,516.3599853515625,181.49920654296875,576.4450073242188,643.1690063476562
2025-08-18 17:30:00+00:00,203.88999938964844,516.0850219726562,181.76210021972656,576.409912109375,642.7600708007812
2025-08-18 18:30:00+00:00,204.13999938964844,514.2999877929688,182.19500732421875,576.97998046875,643.2550048828125
2025-08-18 19:30:00+00:00,204.2899932861328,517.1400146484375,181.97999572753906,577.0999755859375,643.280029296875
2025-08-19 13:30:00+00:00,202.0500030517578,511.2200012207031,178.66490173339844,573.094970703125,643.030029296875
2025-08-19 14:30:00+00:00,201.4250030517578,509.54010009765625,178.27749633789062,571.9650268554688,641.6099853515625
2025-08-19 15:30:00+00:00,201.49000549316406,510.4599914550781,177.53990173339844,570.8599853515625,640.3499755859375
2025-08-19 16:30:00+00:00,201.75999450683594,511.30499267578125,176.69509887695312,569.7012939453125,639.719970703125
2025-08-19 17:30:00+00:00,202.0,510.70001220703125,176.5749053955078,569.4100952148438,639.094970703125
2025-08-19 18:30:00+00:00,202.25999450683594,508.9700012207031,176.33250427246094,569.0499877929688,639.2050170898438
2025-08-19 19:30:00+00:00,202.42999267578125,509.7099914550781,175.64999389648438,569.280029296875,639.75
2025-08-20 13:30:00+00:00,198.5449981689453,507.3716125488281,170.30999755859375,560.281005859375,633.9199829101562
2025-08-20 14:30:00+00:00,199.4199981689453,505.8299865722656,172.4250030517578,563.4400024414062,636.375
2025-08-20 15:30:00+00:00,200.9199981689453,506.08538818359375,174.0500030517578,565.2000122070312,637.4207153320312
2025-08-20 16:30:00+00:00,200.61000061035156,505.9200134277344,173.47500610351562,563.9500122070312,636.5599975585938
2025-08-20 17:30:00+00:00,200.22999572753906,505.3999938964844,172.8249969482422,563.0900268554688,635.8300170898438
2025-08-20 18:30:00+00:00,200.74000549316406,507.0,174.5800018310547,565.75,638.3300170898438
2025-08-20 19:30:00+00:00,200.17100524902344,505.4599914550781,175.38999938964844,565.8599853515625,638.0399780273438
2025-08-21 13:30:00+00:00,202.75399780273438,507.5185852050781,176.47500610351562,566.4099731445312,637.8900146484375
2025-08-21 14:30:00+00:00,201.00050354003906,506.7799987792969,174.96499633789062,564.3300170898438,636.6900024414062
2025-08-21 15:30:00+00:00,200.6300048828125,505.3900146484375,174.22569274902344,562.4849853515625,635.25
2025-08-21 16:30:00+00:00,200.5928955078125,504.4700012207031,174.26499938964844,561.625,634.4349975585938
2025-08-21 17:30:00+00:00,200.60360717773438,505.2449951171875,174.7449951171875,562.885009765625,635.5
2025-08-21 18:30:00+00:00,200.91000366210938,506.1199951171875,174.80189514160156,563.7799072265625,635.9400024414062
2025-08-21 19:30:00+00:00,200.6199951171875,504.1499938964844,174.9709930419922,563.2999877929688,635.5900268554688
2025-08-22 13:30:00+00:00,204.43299865722656,508.20001220703125,176.32000732421875,571.6799926757812,644.1099853515625
2025-08-22 14:30:00+00:00,205.05999755859375,508.2998962402344,178.1300048828125,573.3200073242188,646.0
2025-08-22 15:30:00+00:00,205.0449981689453,506.94500732421875,177.00579833984375,571.2202758789062,644.780029296875
2025-08-22 16:30:00+00:00,207.97039794921875,507.8599853515625,178.2949981689453,573.2050170898438,646.1500244140625
2025-08-22 17:30:00+00:00,208.4149932861328,507.8872985839844,178.11500549316406,572.6599731445312,645.385009765625
2025-08-22 18:30:00+00:00,206.94000244140625,507.1050109863281,178.0601043701172,572.2000122070312,645.0800170898438
2025-08-22 19:30:00+00:00,206.75,507.1000061035156,178.02000427246094,571.97998046875,645.239990234375
2025-08-25 13:30:00+00:00,209.15499877929688,507.2099914550781,178.99000549316406,571.47998046875,644.1500244140625
2025-08-25 14:30:00+00:00,209.60740661621094,507.3999938964844,181.22140502929688,572.8599243164062,644.9099731445312
2025-08-25 15:30:00+00:00,210.75999450683594,507.25,181.5240936279297,572.8662719726562,644.9400024414062
