Date,QQQ,SPY
2021-06-30,345.22698974609375,403.39263916015625
2021-07-01,345.36328125,405.6260070800781
2021-07-02,349.32769775390625,408.7264709472656
2021-07-06,350.83740234375,407.98199462890625
2021-07-07,351.57769775390625,409.4237365722656
2021-07-08,349.4542236328125,406.08782958984375
2021-07-09,351.63604736328125,410.4227294921875
2021-07-12,353.009521484375,411.892822265625
2021-07-13,353.009521484375,410.48876953125
2021-07-14,353.6426696777344,411.1012268066406
2021-07-15,351.15887451171875,409.6971435546875
2021-07-16,348.3146057128906,406.483642578125
2021-07-19,345.4607849121094,400.4807434082031
2021-07-20,349.4736633300781,406.2197265625
2021-07-21,352.1717529296875,409.5086364746094
2021-07-22,354.4997253417969,410.3662414550781
2021-07-23,358.63946533203125,414.5881042480469
2021-07-26,358.9218444824219,415.60577392578125
2021-07-27,354.9672546386719,413.7116394042969
2021-07-28,356.33087158203125,413.5419616699219
2021-07-29,356.9641418457031,415.25714111328125
2021-07-30,355.10369873046875,413.24053955078125
2021-08-02,355.1329345703125,412.37347412109375
2021-08-03,357.28546142578125,415.7283020019531
2021-08-04,357.80169677734375,413.6833190917969
2021-08-05,360.0711975097656,416.3031921386719
2021-08-06,358.4933166503906,416.99102783203125
2021-08-09,359.1555480957031,416.6518249511719
2021-08-10,357.3147277832031,417.1701354980469
2021-08-11,356.7010803222656,418.20672607421875
2021-08-12,357.9867858886719,419.4601135253906
2021-08-13,359.2433166503906,420.2234191894531
2021-08-16,359.399169921875,421.21295166015625
2021-08-17,356.2336120605469,418.4518127441406
2021-08-18,352.8050231933594,413.8718566894531
2021-08-19,354.509521484375,414.5126647949219
2021-08-20,358.181640625,417.8109436035156
2021-08-23,363.5387878417969,421.48626708984375
2021-08-24,364.6492614746094,422.1553649902344
2021-08-25,365.0680236816406,423.0411376953125
2021-08-26,362.7498779296875,420.54388427734375
2021-08-27,366.27581787109375,424.3039245605469
2021-08-30,370.38623046875,426.16986083984375
2021-08-31,370.0843200683594,425.5384521484375
2021-09-01,370.6979675292969,425.7645568847656
2021-09-02,370.5226135253906,427.074462890625
2021-09-03,371.6622009277344,426.9707946777344
2021-09-07,372.18817138671875,425.4442138671875
2021-09-08,370.8927307128906,424.9258728027344
2021-09-09,369.6168212890625,423.1071472167969
2021-09-10,366.8116149902344,419.7711486816406
2021-09-13,366.55828857421875,420.8454284667969
2021-09-14,365.5160827636719,418.5743103027344
2021-09-15,368.2336120605469,422.070556640625
2021-09-16,368.48687744140625,421.4013977050781
2021-09-17,364.12322998046875,417.2965087890625
2021-09-20,356.5992126464844,410.3384704589844
2021-09-21,357.0380554199219,409.9508361816406
2021-09-22,360.3728942871094,413.94976806640625
2021-09-23,363.69805908203125,418.9793395996094
2021-09-24,364.039306640625,419.6695251464844
2021-09-27,361.133544921875,418.4687805175781
2021-09-28,350.91424560546875,410.0359802246094
2021-09-29,350.33905029296875,410.72607421875
2021-09-30,349.0518798828125,405.7059631347656
2021-10-01,351.2166748046875,410.5274963378906
2021-10-04,343.8446960449219,405.23333740234375
2021-10-05,348.4862365722656,409.44976806640625
2021-10-06,350.7193603515625,411.1514587402344
2021-10-07,353.93719482421875,414.7061462402344
2021-10-08,352.17218017578125,413.94976806640625
2021-10-11,349.47113037109375,410.95294189453125
2021-10-12,348.25225830078125,409.94134521484375
2021-10-13,351.0411376953125,411.4161376953125
2021-10-14,357.506103515625,418.33642578125
2021-10-15,359.7586364746094,421.5224304199219
2021-10-18,363.37628173828125,422.7703552246094
2021-10-19,366.1260986328125,426.031982421875
2021-10-20,365.6483154296875,427.7052917480469
2021-10-21,367.8812561035156,428.8208312988281
2021-10-22,364.79022216796875,428.37652587890625
2021-10-25,368.52484130859375,430.6737976074219
2021-10-26,369.685302734375,431.06146240234375
2021-10-27,370.5433654785156,429.1517639160156
2021-10-28,374.6582946777344,433.2925720214844
2021-10-29,376.5012512207031,434.17181396484375
2021-11-01,377.7884826660156,434.9186706542969
2021-11-02,379.3681640625,436.6770324707031
2021-11-03,383.39532470703125,439.34307861328125
2021-11-04,388.3099060058594,441.41357421875
2021-11-05,388.68048095703125,442.945068359375
2021-11-08,388.1539306640625,443.32318115234375
